# EXPLOD DATA FILE
300  # number of points
 50  # number of frames
  9  # gravity
  0  # wind
  5  # trail length
0 0  -1 3
0 0  0 7
0 0  5 8
0 0  0 2
0 0  2 1
0 0  11 10
0 0  10 10
0 0  7 -1
0 0  7 8
0 0  99 21
0 0  86 26
0 0  85 20
0 0  93 24
0 0  106 19
0 0  98 19
0 0  102 24
0 0  85 28
0 0  91 25
0 0  41 -81
0 0  32 -79
0 0  34 -74
0 0  34 -85
0 0  45 -84
0 0  36 -81
0 0  27 -85
0 0  40 -81
0 0  44 -85
0 0  -115 -17
0 0  -118 -21
0 0  -128 -10
0 0  -115 -12
0 0  -109 -15
0 0  -106 -24
0 0  -108 -13
0 0  -108 -14
0 0  -122 -10
0 0  126 60
0 0  123 62
0 0  132 64
0 0  133 64
0 0  113 65
0 0  111 63
0 0  125 67
0 0  133 65
0 0  140 60
0 0  158 -22
0 0  163 -26
0 0  153 -19
0 0  162 -27
0 0  163 -23
0 0  167 -16
0 0  164 -22
0 0  164 -25
0 0  167 -17
0 0  -55 50
0 0  -43 50
0 0  -63 44
0 0  -46 45
0 0  -58 43
0 0  -41 48
0 0  -44 47
0 0  -59 53
0 0  -66 56
0 0  -52 21
0 0  -49 16
0 0  -38 20
0 0  -54 17
0 0  -46 15
0 0  -45 22
0 0  -49 19
0 0  -42 19
0 0  -45 15
0 0  58 1
0 0  63 7
0 0  56 8
0 0  68 -1
0 0  60 -1
0 0  65 -6
0 0  56 2
0 0  43 1
0 0  60 -2
0 0  -117 56
0 0  -115 57
0 0  -131 51
0 0  -120 59
0 0  -107 51
0 0  -126 58
0 0  -124 61
0 0  -124 53
0 0  -125 49
0 0  11 12
0 0  12 5
0 0  25 18
0 0  14 13
0 0  16 17
0 0  11 5
0 0  16 19
0 0  0 19
0 0  7 5
0 0  11 -42
0 0  17 -48
0 0  2 -36
0 0  20 -41
0 0  16 -46
0 0  5 -49
0 0  10 -45
0 0  3 -48
0 0  9 -42
0 0  -56 -41
0 0  -65 -34
0 0  -53 -34
0 0  -57 -46
0 0  -65 -35
0 0  -69 -35
0 0  -53 -45
0 0  -53 -41
0 0  -44 -45
0 0  -163 -23
0 0  -171 -28
0 0  -163 -25
0 0  -161 -29
0 0  -165 -27
0 0  -156 -20
0 0  -166 -29
0 0  -153 -27
0 0  -159 -23
0 0  88 44
0 0  96 46
0 0  96 48
0 0  91 51
0 0  99 46
0 0  90 45
0 0  88 49
0 0  101 50
0 0  99 37
0 0  -23 74
0 0  -33 78
0 0  -36 70
0 0  -11 80
0 0  -16 76
0 0  -31 70
0 0  -38 74
0 0  -31 74
0 0  -18 71
0 0  -65 -78
0 0  -60 -85
0 0  -67 -85
0 0  -71 -76
0 0  -73 -78
0 0  -66 -76
0 0  -56 -81
0 0  -71 -85
0 0  -64 -81
0 0  42 -18
0 0  40 -12
0 0  35 -23
0 0  37 -24
0 0  39 -24
0 0  30 -22
0 0  27 -20
0 0  34 -18
0 0  35 -14
0 0  -72 9
0 0  -62 12
0 0  -60 4
0 0  -78 4
0 0  -78 8
0 0  -69 11
0 0  -81 2
0 0  -83 11
0 0  -61 3
0 0  15 95
0 0  0 97
0 0  10 92
0 0  8 98
0 0  4 96
0 0  13 90
0 0  28 93
0 0  20 98
0 0  14 98
0 0  27 35
0 0  28 32
0 0  22 29
0 0  38 39
0 0  23 32
0 0  18 36
0 0  24 42
0 0  39 39
0 0  28 29
0 0  -23 -17
0 0  -27 -22
0 0  -25 -18
0 0  -27 -17
0 0  -11 -21
0 0  -14 -18
0 0  -27 -21
0 0  -27 -11
0 0  -38 -24
0 0  -37 71
0 0  -51 72
0 0  -24 70
0 0  -24 64
0 0  -41 73
0 0  -36 65
0 0  -24 68
0 0  -44 77
0 0  -24 66
0 0  -57 -91
0 0  -69 -94
0 0  -67 -87
0 0  -57 -95
0 0  -71 -88
0 0  -65 -84
0 0  -56 -94
0 0  -61 -92
0 0  -62 -96
0 0  127 -1
0 0  140 -4
0 0  130 -2
0 0  116 -1
0 0  120 -5
0 0  128 4
0 0  128 5
0 0  129 -5
0 0  120 -1
0 0  28 75
0 0  16 79
0 0  32 72
0 0  15 73
0 0  22 72
0 0  16 81
0 0  34 78
0 0  41 81
0 0  35 73
0 0  -76 -51
0 0  -68 -51
0 0  -81 -45
0 0  -65 -47
0 0  -89 -54
0 0  -90 -53
0 0  -82 -55
0 0  -79 -54
0 0  -62 -46
0 0  -90 26
0 0  -96 32
0 0  -87 20
0 0  -100 27
0 0  -99 29
0 0  -86 29
0 0  -80 27
0 0  -82 24
0 0  -78 32
0 0  38 7
0 0  50 10
0 0  44 1
0 0  39 10
0 0  51 5
0 0  50 4
0 0  48 3
0 0  42 13
0 0  28 4
0 0  -139 -60
0 0  -151 -63
0 0  -138 -61
0 0  -139 -54
0 0  -135 -57
0 0  -135 -53
0 0  -138 -66
0 0  -131 -58
0 0  -154 -55
0 0  70 -28
0 0  62 -26
0 0  61 -26
0 0  68 -24
0 0  80 -32
0 0  65 -27
0 0  78 -26
0 0  63 -23
0 0  68 -28
0 0  -39 -63
0 0  -32 -64
0 0  -50 -67
0 0  -46 -65
0 0  -35 -62
0 0  -53 -67
0 0  -35 -67
0 0  -53 -70
0 0  -28 -61
0 0  3 40
0 0  -8 40
0 0  14 35
0 0  13 35
0 0  17 47
0 0  -6 38
0 0  -10 47
0 0  16 44
0 0  5 40
0 0  40 -55
0 0  38 -55
0 0  34 -52
0 0  36 -51
0 0  39 -50
0 0  50 -58
0 0  28 -55
0 0  42 -48
0 0  39 -51
